date,EUR/EUR,JPY/EUR,USD/EUR,CNY/EUR,INR/EUR,RUB/EUR,CHF/EUR,MXN/EUR,AUD/EUR,KRW/EUR,,2010-01-01
2019-03-01,1,0.804,0.8913,0.1328,0.01288,0.01357,0.8954,0.04586,0.6323,0.000783,,2019-04-01
2019-04-01,1,0.8001,0.8916,0.1324,0.0128,0.01379,0.8746,0.04704,0.6284,0.000766,,2019-05-01
2019-05-01,1,0.8255,0.894,0.1294,0.01286,0.01363,0.893,0.04557,0.6202,0.000753,,2019-06-01
2019-06-01,1,0.8149,0.8794,0.128,0.01277,0.01389,0.9006,0.04573,0.6173,0.000761,,2019-07-01
2019-07-01,1,0.8299,0.9027,0.1311,0.01311,0.01417,0.908,0.04716,0.6178,0.000761,,2019-08-01
2019-08-01,1,0.8556,0.9097,0.1271,0.01273,0.01363,0.9186,0.04531,0.6128,0.000752,,2019-09-01
2019-09-01,1,0.8486,0.9173,0.1283,0.01299,0.01415,0.9189,0.04647,0.6188,0.000766,,2019-10-01
2019-10-01,1,0.8297,0.8965,0.1273,0.01261,0.01397,0.9086,0.0466,0.618,0.000766,,2019-11-01
2019-11-01,1,0.8286,0.9075,0.129,0.01265,0.01409,0.9072,0.04637,0.6138,0.000768,,2019-12-01
2019-12-01,1,0.8208,0.8917,0.128,0.0125,0.0144,0.921,0.04708,0.6261,0.000772,,2020-01-01
2020-01-01,1,0.8314,0.9013,0.1299,0.01259,0.01408,0.9355,0.04781,0.6031,0.000754,,2020-02-01
2020-02-01,1,0.8388,0.9068,0.1297,0.0125,0.01358,0.9391,0.04621,0.5902,0.000756,,2020-03-01
2020-03-01,1,0.8427,0.9064,0.1279,0.01204,0.01151,0.943,0.0382,0.5561,0.000745,,2020-04-01
2020-04-01,1,0.8512,0.9125,0.1292,0.01217,0.01225,0.945,0.03771,0.594,0.000753,,2020-05-01
2020-05-01,1,0.8355,0.9009,0.1262,0.0119,0.01283,0.937,0.04061,0.6005,0.00073,,2020-06-01
2020-06-01,1,0.8245,0.8901,0.126,0.01178,0.01249,0.9395,0.03868,0.6143,0.000742,,2020-07-01
2020-07-01,1,0.8017,0.8488,0.1217,0.01133,0.01139,0.9296,0.03809,0.6062,0.000711,,2020-08-01
2020-08-01,1,0.7909,0.8377,0.1223,0.01143,0.01131,0.9268,0.03826,0.6178,0.000705,,2020-09-01
2020-09-01,1,0.8091,0.8531,0.1256,0.01159,0.01097,0.9261,0.03858,0.611,0.000732,,2020-10-01
2020-10-01,1,0.82,0.8583,0.1282,0.01151,0.01081,0.9359,0.04051,0.603,0.000755,,2020-11-01
2020-11-01,1,0.8035,0.8381,0.1273,0.01132,0.01094,0.9217,0.04149,0.6156,0.000755,,2020-12-01
2020-12-01,1,0.7926,0.8185,0.1254,0.01121,0.01102,0.9244,0.04112,0.6298,0.000754,,2021-01-01
2021-01-01,1,0.7869,0.8239,0.1281,0.01131,0.01086,0.9251,0.04,0.6296,0.000738,,2021-02-01
2021-02-01,1,0.7766,0.828,0.1278,0.01119,0.0111,0.9112,0.03969,0.6379,0.000735,,2021-03-01
2021-03-01,1,0.7698,0.8524,0.1301,0.01166,0.01126,0.9031,0.04167,0.6475,0.000756,,2021-04-01
2021-04-01,1,0.761,0.8318,0.1285,0.01123,0.01105,0.9104,0.04106,0.6418,0.000744,,2021-05-01
2021-05-01,1,0.7461,0.8177,0.1284,0.01127,0.01112,0.9096,0.04097,0.6323,0.000738,,2021-06-01
2021-06-01,1,0.7589,0.8433,0.1306,0.01134,0.0115,0.9114,0.04225,0.6323,0.000746,,2021-07-01
2021-07-01,1,0.7676,0.8423,0.1303,0.01133,0.0115,0.9299,0.04234,0.6186,0.000731,,2021-08-01
